Vehicle,Plate,Time
car,UNKNOWN,2026-04-19 02:33:45.150064
car,UNKNOWN,2026-04-19 02:33:45.215531
car,UNKNOWN,2026-04-19 02:33:45.299904
car,UNKNOWN,2026-04-19 02:33:45.347219
car,UNKNOWN,2026-04-19 02:33:45.388126
car,UNKNOWN,2026-04-19 02:33:45.454789
car,UNKNOWN,2026-04-19 02:33:45.516612
car,UNKNOWN,2026-04-19 02:33:45.627424
car,UNKNOWN,2026-04-19 02:33:45.674438
car,UNKNOWN,2026-04-19 02:33:45.740833
car,UNKNOWN,2026-04-19 02:33:45.817933
car,UNKNOWN,2026-04-19 02:33:45.881006
car,UNKNOWN,2026-04-19 02:33:45.925625
car,UNKNOWN,2026-04-19 02:33:45.978847
truck,UNKNOWN,2026-04-19 02:33:46.045004
car,UNKNOWN,2026-04-19 02:33:46.157597
car,UNKNOWN,2026-04-19 02:33:46.293370
car,UNKNOWN,2026-04-19 02:33:46.339928
car,UNKNOWN,2026-04-19 02:33:46.412147
car,UNKNOWN,2026-04-19 02:33:46.473773
car,UNKNOWN,2026-04-19 02:33:46.543495
car,UNKNOWN,2026-04-19 02:33:46.598652
truck,UNKNOWN,2026-04-19 02:33:46.649546
car,UNKNOWN,2026-04-19 02:33:46.694591
car,UNKNOWN,2026-04-19 02:33:46.736779
car,UNKNOWN,2026-04-19 02:33:46.801581
car,UNKNOWN,2026-04-19 02:33:46.904591
car,UNKNOWN,2026-04-19 02:33:46.965365
car,UNKNOWN,2026-04-19 02:33:47.027356
car,UNKNOWN,2026-04-19 02:33:47.093703
car,UNKNOWN,2026-04-19 02:33:47.165084
car,UNKNOWN,2026-04-19 02:33:47.235893
car,UNKNOWN,2026-04-19 02:33:47.300524
car,UNKNOWN,2026-04-19 02:33:47.341915
truck,UNKNOWN,2026-04-19 02:33:47.392870
car,UNKNOWN,2026-04-19 02:33:47.471394
car,UNKNOWN,2026-04-19 02:33:47.573166
car,UNKNOWN,2026-04-19 02:33:47.634823
car,UNKNOWN,2026-04-19 02:33:47.702495
car,UNKNOWN,2026-04-19 02:33:47.752561
car,UNKNOWN,2026-04-19 02:33:47.819226
car,UNKNOWN,2026-04-19 02:33:47.892764
truck,UNKNOWN,2026-04-19 02:33:47.941848
car,UNKNOWN,2026-04-19 02:33:48.012222
car,UNKNOWN,2026-04-19 02:33:48.052832
car,UNKNOWN,2026-04-19 02:33:48.118114
car,UNKNOWN,2026-04-19 02:33:48.231909
car,UNKNOWN,2026-04-19 02:33:48.277775
car,UNKNOWN,2026-04-19 02:33:48.345689
car,UNKNOWN,2026-04-19 02:33:48.411383
car,UNKNOWN,2026-04-19 02:33:48.473070
car,UNKNOWN,2026-04-19 02:33:48.528517
truck,UNKNOWN,2026-04-19 02:33:48.581734
car,UNKNOWN,2026-04-19 02:33:48.646682
car,UNKNOWN,2026-04-19 02:33:48.687800
car,UNKNOWN,2026-04-19 02:33:48.803646
car,UNKNOWN,2026-04-19 02:33:48.851232
car,UNKNOWN,2026-04-19 02:33:48.912350
car,UNKNOWN,2026-04-19 02:33:48.972527
car,UNKNOWN,2026-04-19 02:33:49.037679
car,UNKNOWN,2026-04-19 02:33:49.102415
car,UNKNOWN,2026-04-19 02:33:49.146463
car,UNKNOWN,2026-04-19 02:33:49.229621
car,UNKNOWN,2026-04-19 02:33:49.277108
car,UNKNOWN,2026-04-19 02:33:49.328991
car,UNKNOWN,2026-04-19 02:33:49.395592
car,UNKNOWN,2026-04-19 02:33:49.458761
car,UNKNOWN,2026-04-19 02:33:49.570870
car,UNKNOWN,2026-04-19 02:33:49.615876
car,UNKNOWN,2026-04-19 02:33:49.675747
car,UNKNOWN,2026-04-19 02:33:49.734848
car,UNKNOWN,2026-04-19 02:33:49.795499
car,UNKNOWN,2026-04-19 02:33:49.864919
truck,UNKNOWN,2026-04-19 02:33:49.934489
truck,UNKNOWN,2026-04-19 02:33:49.989641
car,UNKNOWN,2026-04-19 02:33:50.063874
car,UNKNOWN,2026-04-19 02:33:50.106174
car,UNKNOWN,2026-04-19 02:33:50.172684
car,UNKNOWN,2026-04-19 02:33:50.238668
car,UNKNOWN,2026-04-19 02:33:50.281611
